case_id,case_description,source_csv,method_id,item_id,subsystem,function,failure_mode,effect,cause,current_control,recommended_action,responsible_role,s,o,d,rpn,rpn_arithmetic_ok,evidence_trace,direct_source_ids,engineering_inference_source_ids,evidence_support_class,source_basis_summary,requirement_or_evidence_anchor,critic_notes,status,generation_route,field_provenance_summary,supports_claims,does_not_support_claims,recommended_reader_check
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-009,Mounting interface,Hold rotor centered in caliper slit,Non-standard mounting boss or fork end causes rotor-caliper contact,Brake drag heat noise and reduced braking consistency,Mounting face dimensional error bracket misalignment or frame tolerance drift,Caliper alignment check,Add mounting-face tolerance check and rotor-centering fixture,Designer,7,3,6,126,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Interface-specific row distinct from bolt loosening; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-010,Pad clearance adjustment,Maintain equal pad-rotor clearance as pads wear,Unequal or excessive pad clearance is left after wear adjustment,Insufficient braking force or unintended pad-rotor contact,Only one side adjusted cable barrel overused or pad screw ignored,Service clearance check,Add two-sided clearance procedure with 0.2-0.5 mm target and sign-off,Service technician,8,5,5,200,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,High occurrence service row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-011,Brake pads,Maintain adequate friction material thickness,Brake pad thickness falls below usable limit,Reduced braking margin and longer stopping distance,Normal wear missed inspection or delayed replacement,Pad thickness inspection,Add wear-limit gauge maintenance interval and user warning,Service technician,8,4,4,128,True,B3;B4,B3;B4,,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3;B4,Pad wear row is evidence-grounded and measurable; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-012,Pad retention,Keep pad material and pad assembly retained in caliper,Pad retention pin or split pin is omitted or not bent after replacement,Pad shift noise loss of contact area or inconsistent braking,Incorrect pad replacement procedure missing split pin or assembly oversight,Post-service pad retention inspection,Add pad-retention poka-yoke and second-person service check,Service technician,9,2,8,144,True,B3;B4,B3;B4,,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3;B4,Retention mechanism row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-013,Friction interface,Maintain stable pad-rotor friction coefficient,Oil or grease contaminates disc rotor or brake pads,Brake does not work correctly or braking becomes inconsistent,Lubricant overspray cleaning residue or handling contamination,Visual inspection and brake function check,Add contamination-control instruction replacement rule and clean handling zone,Service technician,8,4,6,192,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Direct manual contamination warning; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-014,Disc rotor,Provide stable friction surface and heat capacity,Disc rotor cracks deforms or wears below serviceable thickness,Vibration reduced braking margin or sudden stop-use condition,Impact overheating abrasive wear or delayed inspection,Rotor visual and thickness inspection,Add rotor thickness gauge crack inspection and stop-use criterion,Service technician,8,3,5,120,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Combines rotor conditions stated in manual; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-015,Hub and rotor side clearance,Avoid interference near rotating rotor,Quick-release lever or adjacent hardware interferes with disc rotor,Mechanical interference drag or unsafe wheel-side condition,Lever positioned on rotor side or inadequate assembly clearance,Wheel installation inspection,Require rotor-side clearance check after wheel installation,Service technician,7,2,6,84,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Lower RPN but important assembly hazard; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-016,Wheel-level braking response,Produce controllable deceleration under low-adhesion conditions,Wet-road braking response is not adjusted by rider or system guidance,Longer braking distance skid and fall risk,Wet surface low tire friction and unchanged braking input,User manual warning and pre-ride judgement,Add wet-condition braking warning and conservative modulation guidance,Designer,7,5,5,175,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Boundary note retained as wheel-level response not weather study; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-017,Wheel-level braking response,Limit excessive front-wheel lock tendency,Front brake force rises too abruptly and locks the wheel,Forward fall and serious injury risk,Overpowered lever-caliper combination poor modulation or abrupt rider input,Brake feel check and compatibility review,Define modulation acceptance check and front-brake force progression target,Designer,8,3,6,144,True,B4;engineering_inference:B1,B4,B1,mixed direct-source and engineering-inference support,B1: CPSC Lectric e-bike mechanical disc brake caliper recall | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Distinct controllability row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-018,Assembly verification,Detect brake assembly defects before release or service return,Final brake function and rotor-interference check is omitted,Latent cable pad or caliper defect reaches rider,Skipped service step time pressure or missing checklist,Informal mechanic judgement,Add mandatory ten-actuation check wheel-rotation check and checklist signature,Manufacturer,9,3,7,189,True,B3;B4,B3;B4,,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3;B4,Process-control row tied to test and manual check evidence; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
